"","numf","numm"
"309",1.6,2
"310",1,1
"311",1,1
"312",0,0
"313",0,0
"314",2.57142857142857,3
"315",1.25,1.66666666666667
"316",0,0
"317",1.33333333333333,1.33333333333333
"318",4.22222222222222,7.6
"319",1,1
"320",1.5,1.5
"321",2.66666666666667,4
"322",1,2
"323",1.71428571428571,2.4
"324",2.66666666666667,2.66666666666667
"325",1,1
"326",1.33333333333333,2
"327",3.16666666666667,3.16666666666667
"328",1.33333333333333,2
"329",1.4,1.75
"330",1.5,1.5
"331",0,0
"332",0,0
"333",1,1
"334",2,2.66666666666667
"335",0,0
"336",1,2
"337",0,0
"338",1.25,2.5
"339",3.5,7
"340",1.25,2.5
"341",3,4
"342",0,0
"343",2.33333333333333,4.2
"344",1.5,3
"345",0,0
"346",1.5,1
"347",3.33333333333333,2.5
"348",1,1
"349",4.1,8.2
"350",1,1
"351",1.33333333333333,2
"352",4.33333333333333,7.8
"353",1,1
"354",1.2,3
"355",3.25,2.6
"356",1,3
"357",0,0
"358",0,0
"359",1,5
"360",1,1.5
"361",1,1
"362",1,1
"363",1,1
"364",1.5,2
"365",2.28571428571429,4
"366",0,0
"367",3,3
"368",2.11111111111111,2.71428571428571
"369",1,1.5
"370",1,4
"371",3.33333333333333,2.5
"372",1,1.5
"373",1.75,2.33333333333333
"374",3.125,4.16666666666667
"375",1.375,2.75
"376",3.22222222222222,4.14285714285714
"377",0,0
"378",1,1
"379",1.66666666666667,1.66666666666667
"380",3.18181818181818,5.83333333333333
"381",1,2.5
"382",1,2
"383",1,5
"384",1,1
"385",3.18181818181818,5.83333333333333
"386",1,2
"387",1,2
"388",2.11111111111111,2.375
"389",2,2
"390",1,2
"391",1.33333333333333,1.33333333333333
"392",1,1
"393",0,0
"394",1,4
"395",1.25,2.5
"396",2,1
"397",1.5,1
"398",1.5,3
"399",1.5,1.5
"400",1.33333333333333,4
"401",3.66666666666667,1.83333333333333
"402",0,0
"403",2,2
"404",0,0
