"","cutoffs","mid","binmin","binmax"
"1",0.114223768395809,2.5,1.21310612687707,3
"2",0.155493186573428,3.5,3,4
"3",0.221266592565479,4.5,4,5
"4",0.265779392135554,5.5,5,6
"5",0.290703763908378,6.5,6,7
"6",0.310939815911438,7.5,7,8
"7",0.391749932148699,8.5,8,9
"8",0.625497909832184,9.5,9,15.2418817657017
