"","cutoffs","mid","binmin","binmax"
"1",0.114223921886994,2.5,1.21310612687707,3
"2",0.155533462444929,3.5,3,4
"3",0.221266673788158,4.5,4,5
"4",0.265779392135759,5.5,5,6
"5",0.290703813473875,6.5,6,7
"6",0.310939735534101,7.5,7,8
"7",0.391749932099777,8.5,8,9
"8",0.625497912431742,9.5,9,15.2418817657017
